Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
ENSMUSG00000025240.10	689	530	446	706	562	218	180	181
ENSMUSG00000025241.16	46	20	25	70	42	15	21	16
ENSMUSG00000025245.14	41	41	47	42	29	30	39	8
ENSMUSG00000025246.13	349	352	348	373	296	205	222	133
ENSMUSG00000025255.18	0	0	0	1	0	1	0	0
ENSMUSG00000025257.5	0	0	1	0	1	2	0	0
ENSMUSG00000025260.10	16	28	24	3	8	38	21	8
ENSMUSG00000025261.17	44	47	38	156	82	36	17	50
ENSMUSG00000025262.8	9	9	11	18	5	6	8	11
ENSMUSG00000025264.12	15	35	24	18	15	24	17	14
ENSMUSG00000025266.11	161	107	108	151	113	65	45	57
ENSMUSG00000025268.15	156	121	91	78	72	92	66	27
ENSMUSG00000025269.16	13	26	21	17	14	15	27	5
ENSMUSG00000025271.13	5	7	5	4	2	2	5	0
ENSMUSG00000025277.14	1	8	8	5	1	16	16	3
ENSMUSG00000025278.9	52	57	64	105	56	96	96	82
ENSMUSG00000025279.7	0	0	1	0	0	0	0	1
ENSMUSG00000025280.8	109	77	54	185	110	68	76	51
ENSMUSG00000025283.15	620	1054	922	251	353	1165	1003	281
ENSMUSG00000025287.15	171	258	183	84	99	71	85	37
ENSMUSG00000025289.15	39	94	82	17	22	83	64	29
ENSMUSG00000025290.17	12	13	19	8	5	25	12	25
ENSMUSG00000025314.16	167	131	136	401	207	123	93	101
ENSMUSG00000025316.16	117	116	90	70	81	68	83	36
ENSMUSG00000025317.7	0	0	0	2	0	0	1	1
ENSMUSG00000025323.10	21	21	17	27	17	3	12	10
ENSMUSG00000025324.8	42	36	30	31	31	32	34	36
ENSMUSG00000025326.12	157	159	198	161	98	68	52	46
ENSMUSG00000025328.9	0	0	0	0	2	0	0	0
ENSMUSG00000025330.6	80	75	48	46	48	35	33	38
ENSMUSG00000025332.14	240	217	115	442	312	114	106	167
ENSMUSG00000025337.10	157	300	189	87	123	121	132	46
ENSMUSG00000025340.14	332	240	161	125	132	105	156	97
ENSMUSG00000025350.15	1	3	1	1	1	0	0	0
ENSMUSG00000025351.14	205	241	192	82	112	315	211	126
ENSMUSG00000025353.5	56	94	78	24	35	64	37	28
ENSMUSG00000025354.5	532	396	290	358	338	190	200	145
ENSMUSG00000025354.5_ENSMUSG00000078427.3	2	2	1	3	4	0	1	0
ENSMUSG00000025355.7	207	130	68	135	125	38	40	38
ENSMUSG00000025357.8	119	77	82	89	72	42	33	42
ENSMUSG00000025358.16	574	522	397	268	299	181	213	126
ENSMUSG00000025358.16_ENSMUSG00000000711.3	0	2	0	0	0	0	0	1
ENSMUSG00000025359.10	0	4	2	0	1	1	3	0
ENSMUSG00000025362.6	27	12	54	2	16	30	20	48
ENSMUSG00000025364.13	194	248	168	120	132	101	107	65
ENSMUSG00000025366.8	1885	1294	1777	2255	1591	1233	1207	1714
ENSMUSG00000025369.15	795	535	422	1428	829	478	479	504
ENSMUSG00000025371.12	138	213	123	90	97	102	119	53
ENSMUSG00000025372.16	484	449	406	388	368	367	469	168
ENSMUSG00000025373.14	272	257	184	250	214	164	152	104
ENSMUSG00000025374.13	18	27	16	6	9	30	21	6
ENSMUSG00000025375.15	72	40	34	185	111	30	32	55
ENSMUSG00000025377.14	56	24	31	61	38	20	25	15
ENSMUSG00000025381.3	16	29	16	12	14	14	13	10
ENSMUSG00000025383.2	0	0	1	0	0	5	5	0
ENSMUSG00000025384.15	120	85	43	141	132	48	46	49
ENSMUSG00000025393.12	1831	2214	1534	1033	1116	1214	1411	617
ENSMUSG00000025395.14	58	83	125	20	38	32	42	22
ENSMUSG00000025400.11	0	0	0	0	1	0	1	0
ENSMUSG00000025402.12	260	242	184	209	181	164	168	74
ENSMUSG00000025403.5	194	166	124	137	107	81	97	58
ENSMUSG00000025404.15	46	29	37	43	26	22	17	18
ENSMUSG00000025408.15	33	45	56	14	18	40	28	11
ENSMUSG00000025409.14	47	27	23	108	58	18	21	11
ENSMUSG00000025410.10	457	571	366	296	298	270	309	143
ENSMUSG00000025413.13	143	124	109	68	116	60	85	38
ENSMUSG00000025417.8	635	422	399	590	524	283	307	245
ENSMUSG00000025420.13	7	6	5	0	7	1	1	1
ENSMUSG00000025421.15	67	66	40	50	49	33	18	14
ENSMUSG00000025422.10	6	2	1	2	5	0	1	1
ENSMUSG00000025423.16	167	146	119	161	112	90	81	31
ENSMUSG00000025425.18	0	0	2	0	0	4	4	1
ENSMUSG00000025428.15	91	107	58	61	64	42	59	47
ENSMUSG00000025431.4	0	1	3	0	0	0	1	2
ENSMUSG00000025432.11	0	0	0	1	0	1	0	0
ENSMUSG00000025436.12	9	10	12	13	7	8	4	1
ENSMUSG00000025437.15	249	172	157	268	237	104	82	82
ENSMUSG00000025439.5	119	170	126	76	95	76	82	38
ENSMUSG00000025451.15	0	2	2	1	2	1	1	0
ENSMUSG00000025453.18	218	154	90	187	174	67	35	52
ENSMUSG00000025464.15	123	129	96	64	70	70	63	40
ENSMUSG00000025465.13	117	181	112	76	63	76	91	41
ENSMUSG00000025466.19	1	1	0	0	0	0	0	0
ENSMUSG00000025469.10	0	1	11	0	0	1	5	2
ENSMUSG00000025470.11	15	23	31	11	16	27	15	11
ENSMUSG00000025473.16	12936	9227	8507	11932	9288	6431	7088	5968
ENSMUSG00000025474.9	207	107	156	150	138	98	104	102
ENSMUSG00000025477.14	0	1	0	0	1	1	2	0
ENSMUSG00000025480.5	0	2	0	0	0	2	1	0
ENSMUSG00000025481.12	1	0	0	0	0	1	0	0
ENSMUSG00000025484.9	35	48	53	30	31	58	53	11
ENSMUSG00000025485.13	429	310	233	314	300	168	190	112
ENSMUSG00000025486.17	16	41	19	12	9	27	21	3
ENSMUSG00000025487.15	361	498	368	163	210	243	231	84
ENSMUSG00000025491.14	0	4	2	5	9	0	1	0
ENSMUSG00000025492.6	323	302	556	90	173	449	345	375
ENSMUSG00000025492.6_ENSMUSG00000059108.4	0	1	0	1	1	0	0	1
ENSMUSG00000025494.8	18	25	12	7	2	12	9	2
ENSMUSG00000025495.15	89	71	61	66	58	44	44	32
ENSMUSG00000025498.15	2917	3369	5648	674	824	3873	4091	2521
ENSMUSG00000025499.18	0	2	3	3	0	4	4	1
ENSMUSG00000025500.12	0	0	2	0	0	0	0	0
ENSMUSG00000025503.5	408	770	408	147	195	573	522	156
ENSMUSG00000025505.16	40	64	35	42	52	26	26	8
ENSMUSG00000025507.13	29	21	24	23	19	12	6	15
ENSMUSG00000025508.13	15	10	11	11	6	15	12	9
ENSMUSG00000025509.15	196	237	183	176	174	164	206	98
ENSMUSG00000025510.14	366	481	353	226	243	302	296	138
ENSMUSG00000025511.14	194	332	211	117	142	281	221	91
ENSMUSG00000025512.15	106	96	77	80	72	88	73	41
ENSMUSG00000025521.15	57	103	67	47	41	71	60	27
ENSMUSG00000025525.12	23	27	17	3	7	13	11	5
ENSMUSG00000025531.14	135	147	175	184	131	82	76	52
ENSMUSG00000025532.13	41	56	49	17	35	46	45	15
ENSMUSG00000025533.15	131	167	80	65	104	100	112	30
ENSMUSG00000025534.17	2913	2161	2047	2921	2667	1788	1960	1072
ENSMUSG00000025537.12	0	0	0	5	0	9	3	0
ENSMUSG00000025538.15	60	80	34	27	39	38	54	29
ENSMUSG00000025544.13	1914	1292	843	1329	1419	457	474	372
ENSMUSG00000025545.10	11	22	16	5	9	22	19	3
ENSMUSG00000025555.14	0	1	1	0	0	0	2	0
ENSMUSG00000025558.19	1	0	1	0	0	0	0	0
ENSMUSG00000025571.13	5	6	4	22	5	5	2	5
ENSMUSG00000025572.17	111	99	70	132	121	78	61	48
ENSMUSG00000025574.13	41	101	58	21	17	58	77	29
ENSMUSG00000025575.14	394	261	180	426	333	167	176	162
ENSMUSG00000025577.7	27	16	19	15	13	20	11	9
ENSMUSG00000025578.9	3	7	7	7	6	8	7	5
ENSMUSG00000025579.14	819	532	383	1196	872	507	467	391
ENSMUSG00000025580.15	312	512	399	212	246	357	380	183
ENSMUSG00000025582.4	203	160	33	1211	639	210	200	50
ENSMUSG00000025583.15	251	202	148	423	268	192	145	162
ENSMUSG00000025584.17	117	206	264	280	98	154	95	81
ENSMUSG00000025586.17	25	40	20	60	59	29	30	10
ENSMUSG00000025591.6	32	36	56	34	35	23	35	8
ENSMUSG00000025602.13	17	11	11	18	14	18	7	10
ENSMUSG00000025607.15	371	247	139	258	212	65	91	98
ENSMUSG00000025609.15	334	260	263	242	211	163	192	84
ENSMUSG00000025612.5	433	297	332	471	383	192	165	184
ENSMUSG00000025613.13	898	955	922	445	506	454	560	213
ENSMUSG00000025616.14	85	77	86	52	57	56	54	23
ENSMUSG00000025626.16	227	181	210	280	165	119	94	75
ENSMUSG00000025630.8	416	686	455	184	229	140	198	126
ENSMUSG00000025645.8	8	16	7	5	9	6	16	4
ENSMUSG00000025646.9	72	63	43	58	43	25	37	16
ENSMUSG00000025647.16	2119	2690	1964	1188	1326	1827	1755	760
ENSMUSG00000025648.18	139	104	44	126	127	44	57	45
ENSMUSG00000025651.14	4	6	5	4	5	7	2	1
ENSMUSG00000025656.17	0	0	1	2	0	0	1	0
ENSMUSG00000025701.12	225	164	401	58	50	156	158	163
ENSMUSG00000025702.15	233	220	304	356	200	213	125	151
ENSMUSG00000025722.16	29	37	28	34	23	25	23	15
ENSMUSG00000025723.12_ENSMUSG00000025724.12	1	1	0	0	0	0	0	0
ENSMUSG00000025724.12	46	86	64	15	25	69	38	17
ENSMUSG00000025728.16	259	195	171	274	220	103	127	111
ENSMUSG00000025730.14	90	103	132	81	58	110	92	43
ENSMUSG00000025731.16	2	3	3	2	1	5	3	1
ENSMUSG00000025732.6	1	5	3	0	0	5	2	2
ENSMUSG00000025733.17	50	39	35	50	54	30	23	23
ENSMUSG00000025736.15	63	88	65	51	56	68	86	35
ENSMUSG00000025737.5	136	92	71	109	99	66	66	59
ENSMUSG00000025738.8	4	1	2	3	2	4	1	2
ENSMUSG00000025742.5	255	177	126	277	193	102	79	71
ENSMUSG00000025743.14	4714	4574	3759	6997	3433	4117	2635	3534
ENSMUSG00000025743.14_ENSMUSG00000028581.17	1	2	0	0	1	3	1	0
ENSMUSG00000025745.12	519	348	230	351	370	158	190	186
ENSMUSG00000025746.11	0	0	2	0	0	0	1	0
ENSMUSG00000025747.12	22	23	24	9	26	11	19	5
ENSMUSG00000025757.12	69	49	43	56	37	26	25	16
ENSMUSG00000025758.10	15	20	32	19	11	8	10	7
ENSMUSG00000025759.11	33	33	13	20	27	12	9	10
ENSMUSG00000025762.15	0	0	1	1	0	1	0	0
ENSMUSG00000025764.14	29	22	32	36	23	19	14	11
ENSMUSG00000025766.14	26	19	11	14	16	5	4	4
ENSMUSG00000025777.8	2	2	3	1	0	0	0	0
ENSMUSG00000025779.10	2	2	5	0	1	5	0	1
ENSMUSG00000025781.14	172	268	217	65	93	221	187	96
ENSMUSG00000025782.12	66	76	67	46	52	40	50	16
ENSMUSG00000025785.5	17	17	23	15	21	26	9	8
ENSMUSG00000025786.17	581	439	296	743	528	239	277	251
ENSMUSG00000025787.6	0	0	0	4	0	6	3	0
ENSMUSG00000025790.14	7	7	32	8	6	22	9	2
ENSMUSG00000025791.18	333	242	220	130	171	153	181	75
ENSMUSG00000025792.9	237	257	224	215	195	188	239	113
ENSMUSG00000025793.17	540	361	303	509	445	312	310	223
ENSMUSG00000025794.9	19	25	44	6	16	35	22	10
ENSMUSG00000025795.8	40	37	46	38	33	31	15	14
ENSMUSG00000025795.8_ENSMUSG00000112009.1	1	1	1	14	14	0	1	1
ENSMUSG00000025804.5	55	50	57	41	51	8	17	13
ENSMUSG00000025809.15	6542	4719	3608	6038	4704	2208	1992	2151
ENSMUSG00000025810.9	1076	995	885	2177	1502	695	760	399
ENSMUSG00000025812.18	0	0	0	4	0	4	0	1
ENSMUSG00000025815.13	3	1	0	6	3	1	0	2
ENSMUSG00000025816.15	23	20	17	16	10	9	8	3
ENSMUSG00000025817.12	127	169	94	113	90	55	63	28
ENSMUSG00000025821.9	80	53	52	117	90	37	48	49
ENSMUSG00000025823.9	1900	1515	1237	902	995	748	792	583
ENSMUSG00000025825.12	37	62	59	19	25	69	58	16
ENSMUSG00000025854.15	960	648	446	1533	1390	1064	1034	246
ENSMUSG00000025855.13	4	8	4	3	0	4	6	0
ENSMUSG00000025856.15	36	54	41	13	17	76	53	7
ENSMUSG00000025857.10	155	74	66	113	83	48	47	59
ENSMUSG00000025858.12	162	229	151	131	123	92	126	49
ENSMUSG00000025860.15	120	109	148	260	159	68	46	55
ENSMUSG00000025862.14	110	136	66	524	268	82	114	136
ENSMUSG00000025868.6	11	10	16	10	8	13	10	5
ENSMUSG00000025869.11	9	25	7	8	12	14	10	4
ENSMUSG00000025870.10	75	61	54	78	64	39	35	32
ENSMUSG00000025871.18	785	500	388	456	497	272	321	159
ENSMUSG00000025872.5	63	88	61	28	53	66	67	22
ENSMUSG00000025873.16	401	312	226	410	307	172	195	170
ENSMUSG00000025875.14	103	208	90	75	99	104	86	22
ENSMUSG00000025876.15	0	2	3	4	2	4	4	4
ENSMUSG00000025877.14	940	681	352	922	761	340	439	375
ENSMUSG00000025878.16	136	82	110	57	62	32	44	27
ENSMUSG00000025880.11	38	22	17	4	6	15	16	3
ENSMUSG00000025887.10	1	2	0	0	1	0	1	0
ENSMUSG00000025888.6	303	471	507	118	148	168	234	126
ENSMUSG00000025893.8	4	5	7	5	7	1	4	2
ENSMUSG00000025894.11	58	53	46	29	45	20	28	19
ENSMUSG00000025898.6	94	56	81	111	74	41	33	31
ENSMUSG00000025899.14	34	26	30	37	23	8	11	12
ENSMUSG00000025903.14	698	472	344	323	345	159	191	105
ENSMUSG00000025907.14	132	126	180	211	139	70	84	49
ENSMUSG00000025911.14	0	1	1	0	2	2	3	0
ENSMUSG00000025912.16	1	1	3	3	1	0	0	3
ENSMUSG00000025915.14	899	757	737	557	502	238	256	244
ENSMUSG00000025917.9	99	176	146	62	65	71	118	32
ENSMUSG00000025920.19	94	69	56	71	59	42	17	20
ENSMUSG00000025921.7	132	122	69	100	134	42	43	40
ENSMUSG00000025925.14	35	38	43	16	24	33	25	5
ENSMUSG00000025931.15	6	8	2	12	12	5	6	6
ENSMUSG00000025932.14	118	121	76	173	141	26	35	36
ENSMUSG00000025933.15	3	2	1	2	4	0	1	1
ENSMUSG00000025934.15	0	0	1	0	0	1	0	0
ENSMUSG00000025935.10	4208	3181	1967	2784	2713	941	840	918
ENSMUSG00000025937.6	300	280	103	187	180	46	90	60
ENSMUSG00000025939.18	162	149	106	62	80	64	64	18
ENSMUSG00000025940.6	72	99	76	40	50	62	58	22
ENSMUSG00000025949.16	53	54	125	122	68	60	39	40
ENSMUSG00000025950.16	1982	1682	858	1032	1145	292	359	250
ENSMUSG00000025956.10	32	22	18	27	32	10	15	8
ENSMUSG00000025958.14	122	102	103	189	109	110	124	43
ENSMUSG00000025959.13	9	33	26	19	13	18	18	6
ENSMUSG00000025962.15	116	114	86	81	76	40	48	16
ENSMUSG00000025967.16	23	36	28	10	10	20	19	12
ENSMUSG00000025968.16	352	236	152	174	226	74	68	62
ENSMUSG00000025969.15	1098	944	916	2724	1624	1197	1096	664
ENSMUSG00000025971.6	16	28	18	20	14	12	8	5
ENSMUSG00000025978.14	22	19	3	13	15	5	10	5
ENSMUSG00000025979.13	245	237	292	134	154	90	107	54
ENSMUSG00000025980.14	783	711	810	490	463	482	495	201
ENSMUSG00000025981.13	110	124	71	21	21	58	68	26
ENSMUSG00000025982.13	822	931	1010	691	620	373	432	222
ENSMUSG00000025983.11	0	0	0	2	2	0	0	0
ENSMUSG00000025986.6	373	311	342	770	420	190	149	164
ENSMUSG00000025993.10	545	324	174	671	693	212	202	120
ENSMUSG00000025995.16	84	82	106	103	102	56	80	40
ENSMUSG00000025997.13	0	0	0	2	0	0	0	0
ENSMUSG00000026000.16	88	121	73	52	47	67	74	26
ENSMUSG00000026003.5	280	322	272	135	157	146	194	106
ENSMUSG00000026004.15	3	5	4	10	4	2	2	0
ENSMUSG00000026005.15	226	249	199	133	165	100	112	42
ENSMUSG00000026009.14	0	3	0	1	2	0	0	0
ENSMUSG00000026012.2	67	100	57	137	95	29	26	19
ENSMUSG00000026014.15	82	62	58	120	70	51	51	37
ENSMUSG00000026014.15_ENSMUSG00000081562.1	0	1	0	0	1	0	0	0
ENSMUSG00000026017.13	4	4	1	6	4	4	0	4
ENSMUSG00000026019.15	60	71	65	51	38	52	50	16
ENSMUSG00000026020.9	136	145	227	83	93	61	66	27
ENSMUSG00000026021.15	184	346	237	53	67	128	130	66
ENSMUSG00000026023.16	10	11	12	4	4	7	7	1
ENSMUSG00000026024.14	120	102	59	193	112	84	53	55
ENSMUSG00000026027.13	135	106	82	68	88	46	56	30
ENSMUSG00000026028.12	162	150	131	273	146	125	115	103
ENSMUSG00000026029.14	548	495	563	236	269	234	214	150
ENSMUSG00000026031.15	290	295	373	159	158	232	251	129
ENSMUSG00000026032.8	8	5	12	1	4	11	6	4
ENSMUSG00000026034.17	168	165	279	78	95	73	92	50
ENSMUSG00000026035.15	5	10	7	3	2	4	2	2
ENSMUSG00000026036.17	41	46	51	26	31	40	27	17
ENSMUSG00000026037.14	118	85	95	78	96	43	53	23
ENSMUSG00000026039.9	37	39	63	51	39	20	17	15
ENSMUSG00000026047.13	67	66	52	51	48	24	26	16
ENSMUSG00000026048.16	46	33	48	52	32	27	26	20
ENSMUSG00000026049.11	22	24	24	8	7	5	22	5
ENSMUSG00000026062.12	22	16	51	9	6	13	9	24
ENSMUSG00000026064.16	98	70	73	70	55	29	31	32
ENSMUSG00000026065.8	0	2	1	1	1	1	2	0
ENSMUSG00000026068.11	61	52	42	50	65	24	15	26
ENSMUSG00000026069.15	47	39	44	118	59	17	13	13
ENSMUSG00000026072.12	0	0	2	0	1	3	0	1
ENSMUSG00000026073.13	4	22	44	0	0	5	7	9
ENSMUSG00000026074.15	6	6	3	5	7	5	1	4
ENSMUSG00000026077.15	7	4	3	11	6	2	1	4
ENSMUSG00000026078.10	72	105	72	16	26	41	48	26
ENSMUSG00000026078.10_ENSMUSG00000103046.1	0	0	0	0	0	0	4	0
ENSMUSG00000026082.11	35	20	39	62	37	31	25	10
ENSMUSG00000026083.12	123	122	157	108	105	86	62	33
ENSMUSG00000026087.11	18	11	30	4	7	17	6	8
ENSMUSG00000026088.15	19	40	47	9	19	25	19	5
ENSMUSG00000026090.16	0	4	0	3	2	0	0	0
ENSMUSG00000026094.14	1022	746	646	566	532	210	244	254
ENSMUSG00000026095.15	350	252	194	167	183	97	98	50
ENSMUSG00000026096.14	18	33	21	11	9	7	9	6
ENSMUSG00000026097.9	192	164	140	94	91	64	83	33
ENSMUSG00000026098.13	33	23	35	16	20	11	9	5
ENSMUSG00000026102.9	74	96	78	54	58	43	47	32
ENSMUSG00000026103.14	83	83	91	146	75	25	29	23
ENSMUSG00000026104.14	2479	1778	2442	1173	1032	1565	1614	1205
ENSMUSG00000026107.11	123	106	143	61	79	43	52	55
ENSMUSG00000026110.15	17	22	28	14	18	20	14	15
ENSMUSG00000026111.15	128	212	178	65	88	81	113	55
ENSMUSG00000026111.15_ENSMUSG00000026113.17	2	3	0	0	0	0	0	1
ENSMUSG00000026112.7	725	462	418	709	569	287	255	309
ENSMUSG00000026113.17	38	38	36	75	52	16	22	19
ENSMUSG00000026116.11	24	30	18	76	45	15	19	15
ENSMUSG00000026121.13	8	14	9	27	12	37	26	16
ENSMUSG00000026123.11	2152	1266	761	1756	1615	705	662	556
ENSMUSG00000026126.15	36	51	40	17	16	25	23	17
ENSMUSG00000026127.13	278	290	224	213	200	224	215	89
ENSMUSG00000026131.20	18	30	56	32	24	14	12	18
ENSMUSG00000026134.11	80	85	84	29	29	30	42	21
ENSMUSG00000026135.17	8	13	7	25	15	7	8	9
ENSMUSG00000026142.15	261	169	130	225	189	137	132	116
ENSMUSG00000026150.14	489	526	250	137	224	133	148	68
ENSMUSG00000026153.15	14	20	26	40	20	6	13	4
ENSMUSG00000026154.4	5	4	10	1	7	6	4	2
ENSMUSG00000026155.13	30	27	37	24	19	17	14	5
ENSMUSG00000026158.11	18	50	142	15	17	57	10	13
ENSMUSG00000026159.13	15	30	16	37	23	8	10	14
ENSMUSG00000026170.6	131	121	80	239	233	68	59	27
ENSMUSG00000026171.12	45	73	62	30	38	54	56	20
ENSMUSG00000026172.12	10	19	10	3	6	17	8	5
ENSMUSG00000026174.9	364	246	166	265	266	117	121	118
ENSMUSG00000026176.13	63	90	91	74	61	47	47	23
ENSMUSG00000026177.11	1006	899	859	1021	925	691	737	420
ENSMUSG00000026179.14	16	14	16	9	16	18	12	14
ENSMUSG00000026181.13	116	75	66	175	98	75	57	69
ENSMUSG00000026187.9	21	12	15	9	8	8	10	6
ENSMUSG00000026189.13	3	16	11	6	7	13	11	6
ENSMUSG00000026192.13	278	208	164	271	284	118	128	102
ENSMUSG00000026193.15	0	1	0	64	32	0	1	0
ENSMUSG00000026196.7	6	4	2	6	0	2	6	5
ENSMUSG00000026197.12	33	44	18	7	11	37	21	10
ENSMUSG00000026198.15	92	88	75	102	70	94	82	47
ENSMUSG00000026199.17	79	62	46	67	57	25	28	22
ENSMUSG00000026200.13	63	38	41	59	34	20	31	37
ENSMUSG00000026201.12	55	96	54	35	40	42	62	25
ENSMUSG00000026202.13	68	71	58	21	29	34	38	19
ENSMUSG00000026203.16	33	28	29	24	25	31	36	9
ENSMUSG00000026204.15	2	1	2	13	2	11	3	2
ENSMUSG00000026207.16	173	239	154	199	191	151	135	95
ENSMUSG00000026209.15	108	223	142	61	56	107	114	34
ENSMUSG00000026213.15	323	197	118	416	267	114	108	129
ENSMUSG00000026219.14	376	364	386	845	457	354	331	265
ENSMUSG00000026220.6	1	0	0	1	3	0	0	0
ENSMUSG00000026222.16	1318	1074	1186	646	595	619	658	494
ENSMUSG00000026223.15	1421	1579	1167	1156	1174	1058	1149	503
ENSMUSG00000026227.11	1	3	4	1	0	0	0	1
ENSMUSG00000026228.6	40	42	14	18	23	30	31	0
ENSMUSG00000026229.17	1480	1232	1279	1069	948	693	797	369
ENSMUSG00000026234.12	714	586	690	543	515	359	375	217
ENSMUSG00000026238.14	1056	1471	1179	320	453	646	586	302
ENSMUSG00000026239.14	24	37	25	12	12	27	24	13
ENSMUSG00000026240.12	84	65	50	48	68	49	48	14
ENSMUSG00000026245.16	335	322	204	98	108	77	100	46
ENSMUSG00000026248.9	24	35	32	11	16	33	26	9
ENSMUSG00000026249.10	1	2	0	1	2	1	1	0
ENSMUSG00000026254.17	229	243	156	166	172	118	97	58
ENSMUSG00000026260.12	100	254	176	51	76	220	170	53
ENSMUSG00000026269.14	265	290	299	441	223	234	146	178
ENSMUSG00000026270.11	54	55	39	51	39	36	35	15
ENSMUSG00000026271.15	23	22	30	8	8	26	30	18
ENSMUSG00000026273.13	9	21	16	15	9	10	12	7
ENSMUSG00000026274.11	52	24	24	51	25	15	14	33
ENSMUSG00000026275.13	156	137	142	192	154	99	123	62
ENSMUSG00000026276.20	1177	896	821	1016	847	372	394	300
ENSMUSG00000026277.14	497	414	248	309	283	153	182	126
ENSMUSG00000026278.14	5	7	14	1	0	1	3	1
ENSMUSG00000026279.14	91	96	69	62	48	56	76	20
ENSMUSG00000026280.17	211	232	179	152	155	143	144	62
ENSMUSG00000026281.15	24	37	46	28	22	20	19	13
ENSMUSG00000026283.13	65	65	49	97	66	31	30	47
ENSMUSG00000026288.14	1636	1051	616	2453	1764	581	640	982
ENSMUSG00000026289.15	231	166	173	165	142	99	111	84
ENSMUSG00000026303.6	2	0	3	0	0	2	1	1
ENSMUSG00000026305.15	860	848	1139	493	565	497	602	281
ENSMUSG00000026307.12	247	220	179	152	170	142	128	84
ENSMUSG00000026307.12_ENSMUSG00000034343.14	0	0	1	1	0	0	0	0
ENSMUSG00000026309.14	87	161	104	68	79	92	86	29
ENSMUSG00000026311.16	37	31	13	68	46	12	26	30
ENSMUSG00000026313.16	46	29	74	65	32	42	21	22
ENSMUSG00000026315.13	105	84	136	62	56	182	210	41
ENSMUSG00000026317.7	910	758	432	1086	863	326	336	308
ENSMUSG00000026319.13	72	85	77	116	73	36	46	52
ENSMUSG00000026321.7	62	41	31	35	33	15	22	9
ENSMUSG00000026333.14	19	22	18	8	10	7	12	1
ENSMUSG00000026335.16	157	204	112	58	73	26	37	33
ENSMUSG00000026339.18	106	93	92	127	115	93	104	53
ENSMUSG00000026341.16	6092	4313	2771	3509	3833	1319	1602	1184
ENSMUSG00000026342.10	619	503	416	355	344	167	217	132
ENSMUSG00000026347.13	0	4	8	1	4	8	3	1
ENSMUSG00000026349.14	162	110	149	265	179	74	72	54
ENSMUSG00000026349.14_ENSMUSG00000036104.12	0	1	0	0	0	0	0	1
ENSMUSG00000026353.9	176	217	215	94	95	135	129	45
ENSMUSG00000026355.11	2424	1770	2027	1528	1400	934	946	963
ENSMUSG00000026356.15	1078	927	868	533	581	470	518	189
ENSMUSG00000026357.3	243	201	198	87	126	75	111	40
ENSMUSG00000026358.13	691	982	872	474	529	389	468	248
ENSMUSG00000026360.9	492	663	448	244	317	180	236	172
ENSMUSG00000026361.9	4	2	2	6	4	1	2	2
ENSMUSG00000026365.15	346	271	224	920	583	119	87	74
ENSMUSG00000026365.15_ENSMUSG00000085867.1	0	0	0	1	1	0	1	0
ENSMUSG00000026374.14	138	181	129	103	124	89	69	37
ENSMUSG00000026377.12	148	191	184	68	78	84	91	48
ENSMUSG00000026383.14	6	2	3	1	3	3	5	1
ENSMUSG00000026384.13	8	3	8	10	9	7	1	3
ENSMUSG00000026385.16	34	44	51	6	6	34	38	21
ENSMUSG00000026389.16	613	439	365	437	423	215	241	243
ENSMUSG00000026390.7	0	0	5	0	0	2	5	1
ENSMUSG00000026393.10	948	860	866	903	682	438	430	270
ENSMUSG00000026395.16	2777	2165	3052	4168	2454	1435	1310	1160
ENSMUSG00000026399.12	12	13	25	8	5	16	21	10
ENSMUSG00000026404.12	53	55	62	34	33	30	33	19
ENSMUSG00000026409.14	41	37	19	38	37	10	16	12
ENSMUSG00000026411.17	37	61	36	16	22	50	52	12
ENSMUSG00000026421.14	321	514	412	147	153	320	247	128
ENSMUSG00000026425.15	615	425	346	841	612	277	340	344
ENSMUSG00000026426.10	32	53	28	23	17	27	21	8
ENSMUSG00000026426.10_ENSMUSG00000031506.11	0	0	2	0	0	0	0	1
ENSMUSG00000026427.16	162	189	138	92	95	90	111	51
ENSMUSG00000026429.9	7	19	12	2	2	12	7	5
ENSMUSG00000026430.16	574	396	348	548	474	252	251	212
ENSMUSG00000026433.13	47	77	52	18	32	34	32	8
ENSMUSG00000026434.12	96	95	113	112	82	45	48	39
ENSMUSG00000026435.15	28	34	18	11	5	12	9	21
ENSMUSG00000026436.15	60	55	54	121	83	32	30	28
ENSMUSG00000026436.15_ENSMUSG00000100037.1	5	8	6	8	8	6	3	2
ENSMUSG00000026437.11	98	241	690	233	92	508	131	73
ENSMUSG00000026439.14	162	110	69	169	153	58	67	50
ENSMUSG00000026439.14_ENSMUSG00000048174.2	18	24	7	44	17	8	6	17
ENSMUSG00000026455.14	18	14	11	17	21	11	10	5
ENSMUSG00000026456.18	192	213	134	198	191	111	109	43
ENSMUSG00000026457.14	1820	1585	1091	1116	1268	874	799	422
ENSMUSG00000026458.13	64	42	14	56	69	22	9	8
ENSMUSG00000026463.17	4	2	5	2	0	9	12	1
ENSMUSG00000026466.16	1470	1489	1020	1375	1104	543	863	816
ENSMUSG00000026466.16_ENSMUSG00000102964.1	1	0	0	2	2	0	0	0
